form;tense_in_paradigm;person;number;preverb;pre2;root;sf2;caus_sf;ending;tsch_class;morph_type;sub_id;id;vn
ვაამხანაგებ;present;1;sg;-;ვა;ამხანაგ;ებ;-;-;T1;active;39-8;39;*ამხანაგება
აამხანაგებ;present;2;sg;-;ა;ამხანაგ;ებ;-;-;T1;active;39-8;39;*ამხანაგება
აამხანაგებს;present;3;sg;-;ა;ამხანაგ;ებ;-;ს;T1;active;39-8;39;*ამხანაგება
ვაამხანაგებთ;present;1;pl;-;ვა;ამხანაგ;ებ;-;თ;T1;active;39-8;39;*ამხანაგება
აამხანაგებთ;present;2;pl;-;ა;ამხანაგ;ებ;-;თ;T1;active;39-8;39;*ამხანაგება
აამხანაგებენ;present;3;pl;-;ა;ამხანაგ;ებ;-;ენ;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებ;future;1;sg;გა;ვა;ამხანაგ;ებ;-;-;T1;active;39-8;39;*ამხანაგება
გააამხანაგებ;future;2;sg;გა;ა;ამხანაგ;ებ;-;-;T1;active;39-8;39;*ამხანაგება
გააამხანაგებს;future;3;sg;გა;ა;ამხანაგ;ებ;-;ს;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებთ;future;1;pl;გა;ვა;ამხანაგ;ებ;-;თ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებთ;future;2;pl;გა;ა;ამხანაგ;ებ;-;თ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებენ;future;3;pl;გა;ა;ამხანაგ;ებ;-;ენ;T1;active;39-8;39;*ამხანაგება
ვაამხანაგე;aorist;1;sg;-;ვა;ამხანაგ;-;-;ე;T1;active;39-8;39;*ამხანაგება
გავაამხანაგე;aorist;1;sg;გა;ვა;ამხანაგ;-;-;ე;T1;active;39-8;39;*ამხანაგება
აამხანაგე;aorist;2;sg;-;ა;ამხანაგ;-;-;ე;T1;active;39-8;39;*ამხანაგება
გააამხანაგე;aorist;2;sg;გა;ა;ამხანაგ;-;-;ე;T1;active;39-8;39;*ამხანაგება
აამხანაგა;aorist;3;sg;-;ა;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
გააამხანაგა;aorist;3;sg;გა;ა;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
ვაამხანაგეთ;aorist;1;pl;-;ვა;ამხანაგ;-;-;ეთ;T1;active;39-8;39;*ამხანაგება
გავაამხანაგეთ;aorist;1;pl;გა;ვა;ამხანაგ;-;-;ეთ;T1;active;39-8;39;*ამხანაგება
აამხანაგეთ;aorist;2;pl;-;ა;ამხანაგ;-;-;ეთ;T1;active;39-8;39;*ამხანაგება
გააამხანაგეთ;aorist;2;pl;გა;ა;ამხანაგ;-;-;ეთ;T1;active;39-8;39;*ამხანაგება
აამხანაგეს;aorist;3;pl;-;ა;ამხანაგ;-;-;ეს;T1;active;39-8;39;*ამხანაგება
გააამხანაგეს;aorist;3;pl;გა;ა;ამხანაგ;-;-;ეს;T1;active;39-8;39;*ამხანაგება
გამიამხანაგებია;perfect;1;sg;გა;მი;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაგიამხანაგებია;perfect;2;sg;გა;გი;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაუამხანაგებია;perfect;3;sg;გა;უ;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაგვიამხანაგებია;perfect;1;pl;გა;გვი;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაგიამხანაგებიათ;perfect;2;pl;გა;გი;ამხანაგ;ებ;-;იათ;T1;active;39-8;39;*ამხანაგება
გაუამხანაგებიათ;perfect;3;pl;გა;უ;ამხანაგ;ებ;-;იათ;T1;active;39-8;39;*ამხანაგება
ვაამხანაგებდი;imperfect;1;sg;-;ვა;ამხანაგ;ებ;-;დი;T1;active;39-8;39;*ამხანაგება
აამხანაგებდი;imperfect;2;sg;-;ა;ამხანაგ;ებ;-;დი;T1;active;39-8;39;*ამხანაგება
აამხანაგებდა;imperfect;3;sg;-;ა;ამხანაგ;ებ;-;და;T1;active;39-8;39;*ამხანაგება
ვაამხანაგებდით;imperfect;1;pl;-;ვა;ამხანაგ;ებ;-;დით;T1;active;39-8;39;*ამხანაგება
აამხანაგებდით;imperfect;2;pl;-;ა;ამხანაგ;ებ;-;დით;T1;active;39-8;39;*ამხანაგება
აამხანაგებდენ;imperfect;3;pl;-;ა;ამხანაგ;ებ;-;დენ;T1;active;39-8;39;*ამხანაგება
აამხანაგებდნენ;imperfect;3;pl;-;ა;ამხანაგ;ებ;-;დნენ;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებდი;conditional;1;sg;გა;ვა;ამხანაგ;ებ;-;დი;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდი;conditional;2;sg;გა;ა;ამხანაგ;ებ;-;დი;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდა;conditional;3;sg;გა;ა;ამხანაგ;ებ;-;და;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებდით;conditional;1;pl;გა;ვა;ამხანაგ;ებ;-;დით;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდით;conditional;2;pl;გა;ა;ამხანაგ;ებ;-;დით;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდენ;conditional;3;pl;გა;ა;ამხანაგ;ებ;-;დენ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდნენ;conditional;3;pl;გა;ა;ამხანაგ;ებ;-;დნენ;T1;active;39-8;39;*ამხანაგება
ვაამხანაგო;optative;1;sg;-;ვა;ამხანაგ;-;-;ო;T1;active;39-8;39;*ამხანაგება
გავაამხანაგო;optative;1;sg;გა;ვა;ამხანაგ;-;-;ო;T1;active;39-8;39;*ამხანაგება
აამხანაგო;optative;2;sg;-;ა;ამხანაგ;-;-;ო;T1;active;39-8;39;*ამხანაგება
გააამხანაგო;optative;2;sg;გა;ა;ამხანაგ;-;-;ო;T1;active;39-8;39;*ამხანაგება
აამხანაგოს;optative;3;sg;-;ა;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
გააამხანაგოს;optative;3;sg;გა;ა;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
ვაამხანაგოთ;optative;1;pl;-;ვა;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
გავაამხანაგოთ;optative;1;pl;გა;ვა;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
აამხანაგოთ;optative;2;pl;-;ა;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
გააამხანაგოთ;optative;2;pl;გა;ა;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
აამხანაგონ;optative;3;pl;-;ა;ამხანაგ;-;-;ონ;T1;active;39-8;39;*ამხანაგება
გააამხანაგონ;optative;3;pl;გა;ა;ამხანაგ;-;-;ონ;T1;active;39-8;39;*ამხანაგება
გამეამხანაგებია;pluperfect;1;sg;გა;მე;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გამეამხანაგებინა;pluperfect;1;sg;გა;მე;ამხანაგ;ებ;-;ინა;T1;active;39-8;39;*ამხანაგება
გამეამხანაგა;pluperfect;1;sg;გა;მე;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებია;pluperfect;2;sg;გა;გე;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
